customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,st,customer lifetime value,monthly premium auto,number of open complaints,total claim amount,policy type,vehicle class
TZ98966,Nevada,F,Bachelor,245019.0,0,73.0,1/3/00,Corporate Auto,Four-Door Car,554.0,,,,,,,
HM55802,California,F,Bachelor,239210.0,17870,61.0,1/0/00,Corporate Auto,Four-Door Car,439.0,,,,,,,
FS42516,Oregon,F,College,580206.0,97541,72.0,1/0/00,Personal Auto,Four-Door Car,389.0,,,,,,,
US89481,California,F,Bachelor,394637.0,0,111.0,1/0/00,Personal Auto,Four-Door Car,799.0,,,,,,,
HS14476,Washington,M,College,916206.0,29723,80.0,1/0/00,Personal Auto,Four-Door Car,20.0,,,,,,,
GE62437,Arizona,F,College,1290256.0,86584,111.0,1/2/00,Personal Auto,Four-Door Car,532.0,,,,,,,
EJ77678,Oregon,F,Master,323536.0,75690,80.0,1/1/00,Personal Auto,Four-Door Car,384.0,,,,,,,
SV85652,Arizona,F,College,245458.0,23158,63.0,1/1/00,Personal Auto,Four-Door Car,322.0,,,,,,,
UL64533,Nevada,F,High School or Below,1897545.0,65999,237.0,1/0/00,Corporate Auto,Luxury,615.0,,,,,,,
PF41800,California,F,Bachelor,471532.0,0,65.0,1/0/00,Personal Auto,Four-Door Car,308.0,,,,,,,
HD95276,Washington,F,College,473787.0,0,130.0,1/0/00,Personal Auto,SUV,23.0,,,,,,,
SK67821,Oregon,F,Bachelor,493291.0,37260,62.0,1/0/00,Corporate Auto,Four-Door Car,15.0,,,,,,,
YV55495,Arizona,F,High School or Below,574422.0,68987,71.0,1/0/00,Personal Auto,Four-Door Car,204.0,,,,,,,
KY38074,California,F,Bachelor,1389173.0,42305,117.0,1/0/00,Personal Auto,Four-Door Car,561.0,,,,,,,
DM79012,Oregon,F,Master,738097.0,65706,91.0,1/0/00,Personal Auto,Four-Door Car,436.0,,,,,,,
CM61827,Oregon,F,Bachelor,309003.0,0,90.0,1/0/00,Personal Auto,Two-Door Car,648.0,,,,,,,
WC35801,Arizona,F,High School or Below,252163.0,53243,66.0,1/2/00,Personal Auto,Four-Door Car,157.0,,,,,,,
QG25316,Nevada,F,High School or Below,265206.0,0,70.0,1/1/00,Corporate Auto,Two-Door Car,484.0,,,,,,,
MB98372,Oregon,F,College,277104.0,50071,71.0,1/0/00,Corporate Auto,Two-Door Car,18.0,,,,,,,
IL19217,California,F,Bachelor,393900.0,60021,99.0,1/0/00,Personal Auto,Four-Door Car,882.0,,,,,,,
SR38658,Arizona,F,High School or Below,1223187.0,43244,103.0,1/0/00,Personal Auto,Luxury,494.0,,,,,,,
YD87931,Washington,M,Doctor,495165.0,46896,35354.0,1/1/00,Personal Auto,Four-Door Car,31.0,,,,,,,
HG65722,Oregon,F,Doctor,1281910.0,10105,172.0,1/3/00,Personal Auto,SUV,0.0,,,,,,,
BU27331,Arizona,F,Bachelor,446851.0,0,73.0,1/3/00,Personal Auto,Four-Door Car,579.0,,,,,,,
XM45289,Oregon,F,High School or Below,551434.0,23218,71.0,1/0/00,Personal Auto,Two-Door Car,447.0,,,,,,,
KP34198,California,F,Bachelor,334387.0,0,92.0,1/0/00,Corporate Auto,Four-Door Car,529.0,,,,,,,
SH90947,Arizona,F,High School or Below,229447.0,0,62.0,1/0/00,Personal Auto,Four-Door Car,313.0,,,,,,,
WE95729,Oregon,F,College,3670742.0,24804,104.0,1/0/00,Personal Auto,SUV,593.0,,,,,,,
PY51963,California,F,Bachelor,3347334.0,33190,106.0,1/0/00,Corporate Auto,SUV,508.0,,,,,,,
RB69909,Nevada,F,High School or Below,798343.0,36014,69.0,1/3/00,Special Auto,Four-Door Car,173.0,,,,,,,
NW21079,Washington,F,Master,487938.0,67163,61.0,1/2/00,Personal Auto,Two-Door Car,33.0,,,,,,,
FR46645,California,F,Bachelor,429399.0,16701,113.0,1/0/00,Personal Auto,Four-Door Car,831.0,,,,,,,
SY17488,Arizona,F,College,716439.0,46623,91.0,1/0/00,Corporate Auto,Four-Door Car,436.0,,,,,,,
AP67935,California,F,College,761951.0,64749,64.0,1/0/00,Special Auto,Four-Door Car,302.0,,,,,,,
FS37417,Arizona,F,High School or Below,395800.0,0,101.0,1/0/00,Personal Auto,SUV,484.0,,,,,,,
ML29312,Oregon,F,High School or Below,449949.0,16969,124.0,1/2/00,Personal Auto,SUV,704.0,,,,,,,
UB61619,Oregon,F,Master,405956.0,11621,108.0,1/0/00,Personal Auto,Four-Door Car,518.0,,,,,,,
CD86811,Arizona,F,Bachelor,445811.0,17622,65.0,1/1/00,Personal Auto,Four-Door Car,312.0,,,,,,,
RU83859,California,F,Bachelor,811033.0,11489,105.0,1/0/00,Personal Auto,Two-Door Car,504.0,,,,,,,
FG63582,Oregon,F,Bachelor,333976.0,0,94.0,1/0/00,Personal Auto,Two-Door Car,863.0,,,,,,,
NN71951,California,F,High School or Below,2426101.0,66525,100.0,1/0/00,Personal Auto,SUV,104.0,,,,,,,
WB37082,Arizona,F,Bachelor,661397.0,0,63.0,1/0/00,Personal Auto,Four-Door Car,676.0,,,,,,,
SM52139,Washington,F,College,293069.0,33663,73.0,1/0/00,Personal Auto,Four-Door Car,350.0,,,,,,,
FL82372,Oregon,F,College,867219.0,22547,112.0,1/0/00,Corporate Auto,SUV,537.0,,,,,,,
DP45816,Arizona,F,High School or Below,1163866.0,61486,97.0,1/0/00,Personal Auto,Two-Door Car,465.0,,,,,,,
GW33762,Oregon,F,Bachelor,684615.0,0,95.0,1/0/00,Personal Auto,Two-Door Car,456.0,,,,,,,
RZ33670,California,F,College,1172777.0,29879,102.0,1/0/00,Personal Auto,Four-Door Car,500.0,,,,,,,
PY70169,Oregon,F,High School or Below,2264383.0,93011,113.0,1/0/00,Personal Auto,SUV,281.0,,,,,,,
MO91628,Oregon,F,Master,261447.0,65186,65.0,1/0/00,Personal Auto,Two-Door Car,5.0,,,,,,,
HW87852,Oregon,F,Master,245175.0,26840,64.0,1/2/00,Personal Auto,Four-Door Car,307.0,,,,,,,
HB20453,Oregon,F,Bachelor,678127.0,0,104.0,1/1/00,Personal Auto,Luxury,982.0,,,,,,,
BN87372,Oregon,F,Bachelor,497480.0,75644,65.0,1/3/00,Personal Auto,Two-Door Car,467.0,,,,,,,
YX23800,Oregon,F,Bachelor,859160.0,38984,73.0,1/0/00,Personal Auto,Four-Door Car,350.0,,,,,,,
DZ87709,Oregon,F,High School or Below,559216.0,71811,71.0,1/0/00,Personal Auto,Four-Door Car,29.0,,,,,,,
XW13033,Nevada,F,College,800947.0,20961,67.0,1/0/00,Personal Auto,Four-Door Car,321.0,,,,,,,
SP81997,Washington,F,Master,793690.0,41275,96.0,1/0/00,Personal Auto,Four-Door Car,41.0,,,,,,,
OM82309,California,F,Bachelor,5816655.0,61321,186.0,1/1/00,Personal Auto,Luxury,427.0,,,,,,,
ZU35962,California,F,College,802522.0,0,77.0,1/0/00,Personal Auto,Two-Door Car,25.0,,,,,,,
VH85817,California,F,High School or Below,578018.0,51066,74.0,1/0/00,Personal Auto,Four-Door Car,787.0,,,,,,,
DT85712,California,F,Doctor,411853.0,34378,102.0,1/0/00,Personal Auto,SUV,489.0,,,,,,,
YJ88573,Nevada,F,Master,252307.0,43072,63.0,1/0/00,Personal Auto,Four-Door Car,302.0,,,,,,,
SQ19467,Oregon,F,College,655421.0,25222,90.0,1/0/00,Personal Auto,Four-Door Car,475.0,,,,,,,
YB66933,Washington,F,Bachelor,538275.0,77552,68.0,1/1/00,Corporate Auto,Four-Door Car,45.0,,,,,,,
ET79815,California,F,College,592672.0,23091,96.0,1/5/00,Personal Auto,Four-Door Car,460.0,,,,,,,
QC35222,California,F,Bachelor,268347.0,48269,69.0,1/3/00,Corporate Auto,Four-Door Car,282.0,,,,,,,
CJ15590,Oregon,F,Bachelor,269518.0,32720,67.0,1/0/00,Personal Auto,Four-Door Car,321.0,,,,,,,
OI48267,California,F,College,604702.0,20396,76.0,1/1/00,Personal Auto,Four-Door Car,364.0,,,,,,,
JY67916,Oregon,F,College,1317101.0,21513,119.0,1/1/00,Personal Auto,Two-Door Car,679.0,,,,,,,
OW15518,Washington,F,College,1595001.0,0,87.0,1/1/00,Personal Auto,Two-Door Car,46.0,,,,,,,
CZ33664,Oregon,F,Bachelor,252765.0,80744,63.0,1/0/00,Corporate Auto,Four-Door Car,11.0,,,,,,,
WK30175,Oregon,F,Bachelor,267209.0,52822,67.0,1/0/00,Corporate Auto,Two-Door Car,350.0,,,,,,,
ON44465,California,F,High School or Below,531329.0,0,77.0,1/1/00,Personal Auto,Four-Door Car,863.0,,,,,,,
TV87155,Oregon,F,Bachelor,2094619.0,69738,74.0,1/1/00,Personal Auto,Four-Door Car,492.0,,,,,,,
KH48895,Arizona,F,Master,837535.0,17780,109.0,1/0/00,Personal Auto,SUV,132.0,,,,,,,
NZ30757,California,F,Bachelor,480166.0,18107,62.0,1/0/00,Personal Auto,Four-Door Car,297.0,,,,,,,
RI22468,Arizona,F,Bachelor,574594.0,57740,74.0,1/3/00,Personal Auto,Four-Door Car,269.0,,,,,,,
FZ30935,Oregon,F,College,606611.0,32627,76.0,1/0/00,Personal Auto,Two-Door Car,380.0,,,,,,,
UG93476,California,F,College,800230.0,0,107.0,1/0/00,Personal Auto,SUV,513.0,,,,,,,
AB96670,California,F,College,239391.0,0,70.0,1/0/00,Personal Auto,Four-Door Car,425.0,,,,,,,
XK64261,Oregon,F,Bachelor,476281.0,65795,62.0,1/1/00,Corporate Auto,Two-Door Car,49.0,,,,,,,
EV68375,California,F,College,433038.0,60475,107.0,1/0/00,Personal Auto,Four-Door Car,513.0,,,,,,,
UN51653,California,F,High School or Below,940272.0,0,130.0,1/0/00,Personal Auto,SUV,936.0,,,,,,,
TO96662,Oregon,F,Bachelor,696669.0,41837,88.0,1/0/00,Personal Auto,Four-Door Car,142.0,,,,,,,
MR52087,California,F,Bachelor,769406.0,32303,65.0,1/0/00,Personal Auto,Four-Door Car,45.0,,,,,,,
DE75225,Oregon,F,High School or Below,871756.0,0,117.0,1/1/00,Personal Auto,SUV,561.0,,,,,,,
EP80820,California,F,Bachelor,592874.0,40531,74.0,1/0/00,Personal Auto,Two-Door Car,30.0,,,,,,,
GU99037,Oregon,F,College,245297.0,79898,62.0,1/1/00,Corporate Auto,Four-Door Car,271.0,,,,,,,
WI57118,California,F,College,670157.0,56398,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,,,,,,,
GP39118,Washington,M,High School or Below,499655.0,71600,63.0,1/0/00,Personal Auto,Two-Door Car,46.0,,,,,,,
MQ14219,Arizona,F,College,849269.0,27804,109.0,1/0/00,Personal Auto,SUV,784.0,,,,,,,
KN20603,Oregon,F,Bachelor,771349.0,45506,66.0,1/2/00,Personal Auto,Four-Door Car,316.0,,,,,,,
SG20925,Washington,F,Master,518579.0,99428,6464.0,1/1/00,Personal Auto,Four-Door Car,48.0,,,,,,,
JI70886,California,F,High School or Below,729006.0,0,102.0,1/1/00,Corporate Auto,SUV,489.0,,,,,,,
VF72557,Oregon,F,High School or Below,477294.0,20993,133.0,1/0/00,Personal Auto,SUV,638.0,,,,,,,
OX28638,Arizona,F,High School or Below,680649.0,37839,86.0,1/0/00,Personal Auto,Two-Door Car,465.0,,,,,,,
SK55033,California,F,Bachelor,246978.0,92711,62.0,1/0/00,Personal Auto,Two-Door Car,368.0,,,,,,,
OO88645,California,F,College,310392.0,74665,78.0,1/2/00,Corporate Auto,Four-Door Car,236.0,,,,,,,
FM14335,Washington,F,College,1048491.0,61108,89.0,1/0/00,Personal Auto,Four-Door Car,49.0,,,,,,,
CW82151,California,F,Bachelor,890273.0,46833,112.0,1/0/00,Personal Auto,Luxury,64.0,,,,,,,
DY22043,Oregon,F,High School or Below,549944.0,88768,68.0,1/0/00,Personal Auto,Two-Door Car,326.0,,,,,,,
SH36774,California,F,High School or Below,1502359.0,28262,192.0,1/0/00,Personal Auto,Luxury,921.0,,,,,,,
EM43724,Nevada,F,Bachelor,250910.0,33555,63.0,1/0/00,Personal Auto,Four-Door Car,101.0,,,,,,,
FH85960,Oregon,F,College,3122174.0,42780,113.0,1/1/00,Personal Auto,Four-Door Car,542.0,,,,,,,
XA55993,Oregon,F,Master,313350.0,58850,78.0,1/0/00,Personal Auto,Four-Door Car,143.0,,,,,,,
GO36627,Arizona,F,College,383745.0,21880,97.0,1/0/00,Special Auto,Four-Door Car,424.0,,,,,,,
QH48047,Oregon,F,College,1179049.0,25251,66.0,1/0/00,Personal Auto,Four-Door Car,316.0,,,,,,,
HS28694,Washington,F,High School or Below,282986.0,25317,71.0,1/0/00,Personal Auto,Two-Door Car,50.0,,,,,,,
UH65059,Arizona,F,High School or Below,430580.0,24188,109.0,1/0/00,Personal Auto,Luxury,523.0,,,,,,,
FV21968,Nevada,F,Bachelor,597397.0,41611,74.0,1/0/00,Special Auto,Four-Door Car,113.0,,,,,,,
QA87025,Oregon,F,Bachelor,567044.0,28406,72.0,1/1/00,Personal Auto,Four-Door Car,192.0,,,,,,,
TQ13499,Arizona,F,College,473174.0,69833,118.0,1/0/00,Personal Auto,Four-Door Car,828.0,,,,,,,
BU44523,Arizona,F,High School or Below,802637.0,0,74.0,1/0/00,Corporate Auto,Four-Door Car,532.0,,,,,,,
MS41162,Arizona,F,High School or Below,402296.0,0,117.0,1/0/00,Personal Auto,SUV,975.0,,,,,,,
PU25891,Oregon,F,High School or Below,961831.0,80536,119.0,1/0/00,Special Auto,Luxury,53.0,,,,,,,
LH92841,Washington,F,Bachelor,725595.0,88891,89.0,1/0/00,Personal Auto,Four-Door Car,50.0,,,,,,,
SX26335,Oregon,F,College,955292.0,97732,79.0,1/0/00,Personal Auto,Four-Door Car,289.0,,,,,,,
AZ95587,Arizona,F,Bachelor,1038855.0,61222,89.0,1/0/00,Special Auto,Four-Door Car,392.0,,,,,,,
DS81757,Oregon,M,College,247012.0,0,74.0,1/0/00,Personal Auto,Two-Door Car,721.0,,,,,,,
OJ94107,Arizona,M,Master,561906.0,50335,140.0,1/0/00,Personal Auto,SUV,456.0,,,,,,,
LP84436,California,F,High School or Below,904711.0,0,127.0,1/0/00,Personal Auto,Luxury,1087.0,,,,,,,
FF22360,Washington,F,Doctor,268731.0,82210,68.0,1/4/00,Personal Auto,Four-Door Car,51.0,,,,,,,
LM19287,Oregon,F,High School or Below,373150.0,0,96.0,1/0/00,Personal Auto,Four-Door Car,460.0,,,,,,,
ZU18643,Nevada,M,Bachelor,366077.0,64495,92.0,1/0/00,Corporate Auto,Four-Door Car,251.0,,,,,,,
AZ82578,California,F,College,792882.0,0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.0,,,,,,,
XC67861,Arizona,F,Bachelor,501175.0,28859,67.0,1/3/00,Corporate Auto,Two-Door Car,321.0,,,,,,,
YC43143,Arizona,F,High School or Below,798825.0,77330,99.0,1/0/00,Personal Auto,Four-Door Car,99.0,,,,,,,
EK59571,Oregon,M,College,388545.0,0,105.0,1/0/00,Corporate Auto,Four-Door Car,504.0,,,,,,,
PA38372,Washington,F,High School or Below,935773.0,33060,117.0,1/0/00,Personal Auto,Four-Door Car,56.0,,,,,,,
RO18530,Washington,M,Master,254068.0,42557,65.0,1/0/00,Personal Auto,Four-Door Car,57.0,,,,,,,
PD27940,Arizona,M,High School or Below,488516.0,26372,126.0,1/0/00,Personal Auto,SUV,604.0,,,,,,,
BS77946,Arizona,F,Bachelor,975330.0,17514,127.0,1/0/00,Personal Auto,SUV,8.0,,,,,,,
YM50253,California,F,Bachelor,294615.0,89270,74.0,1/0/00,Personal Auto,Four-Door Car,316.0,,,,,,,
NR15332,California,M,High School or Below,258111.0,29757,65.0,1/0/00,Personal Auto,Four-Door Car,312.0,,,,,,,
RC62865,Oregon,M,College,351738.0,51814,92.0,1/0/00,Personal Auto,Four-Door Car,56.0,,,,,,,
CC15295,Oregon,F,Bachelor,974335.0,24028,82.0,1/0/00,Personal Auto,Four-Door Car,393.0,,,,,,,
KA61892,Arizona,M,College,387364.0,28142,105.0,1/0/00,Personal Auto,Luxury,701.0,,,,,,,
OS94884,Arizona,F,Bachelor,764928.0,52705,64.0,1/1/00,Personal Auto,Two-Door Car,128.0,,,,,,,
ND87334,California,M,High School or Below,228759.0,0,63.0,1/0/00,Corporate Auto,Two-Door Car,679.0,,,,,,,
OY51402,Washington,F,High School or Below,825576.0,54040,103.0,1/0/00,Personal Auto,SUV,59.0,,,,,,,
YL74911,California,F,College,871492.0,0,118.0,1/0/00,Personal Auto,SUV,566.0,,,,,,,
GK92563,Washington,F,Doctor,681923.0,22492,85.0,1/0/00,Personal Auto,Two-Door Car,61.0,,,,,,,
HL53154,California,M,Bachelor,741619.0,0,77.0,1/2/00,Personal Auto,Four-Door Car,554.0,,,,,,,
RI78966,Oregon,M,Master,777115.0,21876,68.0,1/0/00,Personal Auto,Four-Door Car,465.0,,,,,,,
IC13702,California,F,Bachelor,696834.0,0,69.0,1/1/00,Personal Auto,Four-Door Car,496.0,,,,,,,
BE10809,California,F,High School or Below,425028.0,0,61.0,1/1/00,Personal Auto,Four-Door Car,292.0,,,,,,,
HT87217,Oregon,F,High School or Below,1977656.0,70699,82.0,1/0/00,Personal Auto,Four-Door Car,256.0,,,,,,,
TH95618,California,F,High School or Below,2134346.0,0,74.0,1/1/00,Personal Auto,Four-Door Car,355.0,,,,,,,
TS19868,California,M,College,241313.0,27501,63.0,1/0/00,Personal Auto,Four-Door Car,542.0,,,,,,,
LP45550,Oregon,F,Doctor,1536384.0,15897,101.0,1/0/00,Personal Auto,Four-Door Car,303.0,,,,,,,
QR87004,Nevada,F,College,845696.0,25141,73.0,1/1/00,Personal Auto,Four-Door Car,25.0,,,,,,,
OE75747,Nevada,F,College,218964.0,0,61.0,1/3/00,Personal Auto,Four-Door Car,292.0,,,,,,,
DX91392,California,M,High School or Below,578018.0,51066,74.0,1/0/00,Personal Auto,Four-Door Car,787.0,,,,,,,
AB72731,California,F,Bachelor,463998.0,28358,117.0,1/0/00,Personal Auto,Luxury,84.0,,,,,,,
GX84338,Washington,F,Doctor,382443.0,62530,95.0,1/0/00,Personal Auto,Four-Door Car,61.0,,,,,,,
IS12901,Arizona,F,Bachelor,596811.0,90972,74.0,1/0/00,Personal Auto,Two-Door Car,232.0,,,,,,,
BN90616,Washington,F,Bachelor,859033.0,63110,72.0,1/0/00,Personal Auto,Four-Door Car,68.0,,,,,,,
HH90090,California,F,Bachelor,407663.0,29549,104.0,1/0/00,Personal Auto,Luxury,710.0,,,,,,,
IU25463,California,F,Bachelor,1225260.0,0,115.0,1/1/00,Personal Auto,Four-Door Car,552.0,,,,,,,
KC11055,Nevada,F,Bachelor,1693627.0,39411,217.0,1/2/00,Personal Auto,Luxury,1122.0,,,,,,,
PD33979,Oregon,M,High School or Below,489243.0,21709,62.0,1/0/00,Personal Auto,Four-Door Car,408.0,,,,,,,
NK71023,Nevada,M,Bachelor,994230.0,67890,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,,,,,,,
AB13432,California,M,Bachelor,373583.0,0,110.0,1/0/00,Personal Auto,SUV,792.0,,,,,,,
OZ97704,California,F,High School or Below,1311752.0,84311,111.0,1/4/00,Personal Auto,SUV,532.0,,,,,,,
UF46533,California,F,College,457452.0,99316,114.0,1/0/00,Corporate Auto,SUV,754.0,,,,,,,
XP47431,Arizona,F,Bachelor,547006.0,54507,138.0,1/0/00,Personal Auto,SUV,702.0,,,,,,,
GK73582,California,F,Bachelor,297884.0,64586,76.0,1/0/00,Personal Auto,Four-Door Car,206.0,,,,,,,
RV98763,Oregon,M,College,641096.0,61709,82.0,1/2/00,Personal Auto,Four-Door Car,275.0,,,,,,,
II62831,California,M,Master,447902.0,94656,111.0,1/1/00,Special Auto,SUV,459.0,,,,,,,
XK33449,California,F,High School or Below,238373.0,0,69.0,1/0/00,Special Auto,Two-Door Car,496.0,,,,,,,
TR85083,California,M,Bachelor,276449.0,61085,70.0,1/1/00,Personal Auto,Two-Door Car,336.0,,,,,,,
EO95328,Oregon,F,Bachelor,792010.0,89284,67.0,1/3/00,Personal Auto,Two-Door Car,321.0,,,,,,,
EN21086,Arizona,F,High School or Below,688909.0,0,63.0,1/0/00,Personal Auto,Four-Door Car,302.0,,,,,,,
YL83902,Washington,F,Bachelor,327419.0,31686,81.0,1/0/00,Personal Auto,Four-Door Car,430.0,,,,,,,
AZ62651,Oregon,M,High School or Below,995170.0,56855,255.0,1/0/00,Corporate Auto,Luxury,1836.0,,,,,,,
ZW25874,Oregon,M,Bachelor,252155.0,53703,67.0,1/2/00,Special Auto,Four-Door Car,67.0,,,,,,,
EH41854,Washington,F,High School or Below,2370611.0,0,96.0,1/1/00,Personal Auto,Two-Door Car,844.0,,,,,,,
MW70227,California,M,College,604702.0,20396,76.0,1/1/00,Personal Auto,Four-Door Car,364.0,,,,,,,
SL22297,California,F,Master,1114030.0,27679,150.0,1/0/00,Personal Auto,SUV,722.0,,,,,,,
RV14138,Nevada,F,Bachelor,433406.0,23904,123.0,1/3/00,Personal Auto,SUV,590.0,,,,,,,
UO62808,Arizona,F,High School or Below,279974.0,65351,69.0,1/0/00,Corporate Auto,Four-Door Car,481.0,,,,,,,
ZX64745,California,M,College,792313.0,0,113.0,1/0/00,Personal Auto,SUV,1124.0,,,,,,,
FL34139,California,M,High School or Below,368811.0,0,63.0,1/3/00,Personal Auto,Four-Door Car,669.0,,,,,,,
TS11219,California,M,College,1206745.0,0,116.0,1/0/00,Personal Auto,SUV,1284.0,,,,,,,
XX12304,California,F,College,292497.0,64459,72.0,1/0/00,Personal Auto,Four-Door Car,240.0,,,,,,,
SD64087,California,M,College,1501409.0,32961,190.0,1/0/00,Corporate Auto,SUV,912.0,,,,,,,
OY38576,Oregon,F,High School or Below,927723.0,71416,116.0,1/0/00,Corporate Auto,SUV,556.0,,,,,,,
BG76355,Washington,F,Bachelor,627412.0,68964,78.0,1/0/00,Personal Auto,Four-Door Car,115.0,,,,,,,
IP66913,California,M,High School or Below,388664.0,78108,98.0,1/0/00,Personal Auto,Two-Door Car,470.0,,,,,,,
LE95702,California,M,College,438627.0,10621,67.0,1/0/00,Special Auto,Four-Door Car,321.0,,,,,,,
KX54357,Washington,M,College,1136526.0,84910,95.0,1/0/00,Corporate Auto,Two-Door Car,383.0,,,,,,,
EZ78112,California,F,High School or Below,561096.0,77493,70.0,1/0/00,Special Auto,Four-Door Car,307.0,,,,,,,
XN16891,Arizona,M,College,291289.0,81097,74.0,1/0/00,Personal Auto,Four-Door Car,355.0,,,,,,,
XK31350,Oregon,F,College,691572.0,96610,85.0,1/0/00,Corporate Auto,Four-Door Car,520.0,,,,,,,
CC30924,Oregon,M,College,626266.0,30110,159.0,1/0/00,Corporate Auto,Luxury,466.0,,,,,,,
IT78748,Oregon,F,High School or Below,650339.0,22081,84.0,1/0/00,Special Auto,Two-Door Car,451.0,,,,,,,
KY33386,Washington,F,High School or Below,800739.0,0,112.0,1/0/00,Personal Auto,Luxury,537.0,,,,,,,
CO44221,California,M,College,292991.0,98473,72.0,1/0/00,Personal Auto,Four-Door Car,345.0,,,,,,,
LK60013,Oregon,F,Bachelor,596955.0,97431,74.0,1/0/00,Personal Auto,Four-Door Car,355.0,,,,,,,
DE21533,California,M,Bachelor,547315.0,93870,69.0,1/0/00,Personal Auto,Four-Door Car,331.0,,,,,,,
YS94121,Nevada,M,High School or Below,564539.0,50366,72.0,1/0/00,Personal Auto,Four-Door Car,428.0,,,,,,,
UK68427,Washington,M,High School or Below,636926.0,34498,83.0,1/0/00,Personal Auto,Two-Door Car,398.0,,,,,,,
TE49565,Oregon,F,College,1183376.0,16552,103.0,1/0/00,Personal Auto,SUV,494.0,,,,,,,
RA88421,Oregon,F,College,612110.0,26787,77.0,1/0/00,Personal Auto,Four-Door Car,369.0,,,,,,,
KQ51983,Nevada,M,College,515936.0,0,74.0,1/0/00,Personal Auto,Two-Door Car,831.0,,,,,,,
CD88896,Nevada,F,High School or Below,251459.0,43860,65.0,1/0/00,Corporate Auto,Four-Door Car,156.0,,,,,,,
YV22553,Arizona,M,High School or Below,866861.0,21474,114.0,1/2/00,Corporate Auto,SUV,373.0,,,,,,,
WU14435,California,M,Bachelor,496096.0,18174,66.0,1/0/00,Corporate Auto,Four-Door Car,395.0,,,,,,,
XV84099,Arizona,F,Bachelor,550413.0,0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.0,,,,,,,
RI24911,Arizona,M,College,750745.0,60920,64.0,1/0/00,Personal Auto,Two-Door Car,231.0,,,,,,,
KO26461,Arizona,M,High School or Below,3226985.0,41520,90.0,1/0/00,Personal Auto,Four-Door Car,289.0,,,,,,,
HI14283,Oregon,F,Bachelor,565703.0,0,152.0,1/0/00,Personal Auto,SUV,729.0,,,,,,,
